Item,Serving Size (g) ,Calories,Total Fat (g) ,Sat. Fat (g) ,Trans Fat (g)* ,Chol. (mg) ,Sodium (mg) ,Carbohydrate(g) ,Dietary Fiber (g) ,Sugars (g) ,Protein(g) ,Vitamin A % DV ,Vitamin C % ,DV Calcium % ,DV Iron % DV
"6"" Artisan Flatbread",78,220,4,1,0,0,360,40,1,2,7,0,0,0,15
"6"" Artisan Italian Bread",65,160,2,1,0,0,350,34,0,2,7,0,8,0,10
"6"" Hearty Multigrain bread",71,190,2,0,0,0,310,36,3,3,7,0,0,0,8
"6"" Italian Herbs & Chgeese",76,200,4,2,0,10,550,36,<1,2,9,4,8,6,10
"6"" Jalepeno Cheddar Bread",76,190,4,2,0,10,470,34,<1,2,9,4,10,6,10
Baja Chipolte Southwest Sauce ,14,70,7,1,0,5,125,1,0,1,0,0,0,0,0
Barbecue Sauce,14,25,0,0,0,0,115,6,0,5,0,0,0,0,0
Franks Red Hot Buffalo Sauce,14,5,0,0,0,0,350,1,0,0,0,6,0,0,0
Ceasar,14,80,9,2,0,5,130,0,0,0,0,0,0,0,0
Creamy Sriracha,14,40,4,1,0,5,240,2,0,1,0,4,2,0,0
Giardiniera,28,80,9,2,0,0,340,1,0,1,0,0,0,0,0
Honey Mustard,14,20,0,0,0,0,80,4,0,4,0,0,0,0,0
Hot Pepper Relish,14,0,0,0,0,0,170,1,0,0,0,0,15,0,0
Lite Mayonnaise,14,50,5,1,0,5,90,1,0,0,0,0,0,0,0
Mayonnaise,14,100,11,2,0,10,65,0,0,0,0,0,0,0,0
Mustard Yellow,14,10,1,0,0,0,170,1,0,0,1,0,0,0,0
MVP Parmesean Vinaigrette,17,70,8,1,0,0,180,1,0,1,0,0,0,0,0
Oil,5,45,5,0,0,0,0,0,0,0,0,0,0,0,0
Oil & Vinegar,9,45,5,0,0,0,0,0,0,0,0,0,0,0,0
Peppercorn Ranch Sauce,14,80,8,2,0,5,100,1,0,1,0,0,0,0,0
Red Wine Vinegar,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sweet Onion Sauce, Fat Free",18,30,0,0,0,0,75,8,0,7,0,0,0,0,0
Sweet Onion Triyaki Sauce,18,35,0,0,0,0,160,8,0,9,7,0,0,0,0
"Pepper, Black",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salt,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0
"Avocado, Sliced",28,45,4,1,0,0,0,2,2,0,1,2,4,0,0
"Avocado, Smashed",35,70,6,1,0,0,130,3,2,0,1,0,0,0,0
Banana Peppers (3 rings),4,0,0,0,0,0,65,0,0,0,0,0,6,0,0
Cucumbers (3 slices),14,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Green Chilies,14,0,0,0,0,0,55,1,0,0,0,0,6,0,2
Green Peppers,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Jalepeno Peppers (3 rings),4,0,0,0,0,0,70,0,0,0,0,0,2,0,0
Lettuce,21,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Olives, Black (3 rings)",3,0,0,0,0,0,25,0,0,0,0,0,0,0,0
Onions,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pickles (3 chips),10,0,0,0,0,0,115,0,0,0,0,0,0,0,0
"Spinach, Baby",7,0,0,0,0,0,5,0,0,0,0,15,2,0,2
Sweet Peppers,14,15,0,0,0,0,170,3,0,3,0,0,6,0,0
Tomatoes (3 wheels),35,5,0,0,0,0,0,1,0,1,0,10,4,0,0
American,11,40,4,2,0,10,210,1,0,0,2,4,0,4,0
BelGioioso Fresh Mozzarella,17,40,3,2,0,10,55,0,0,0,3,0,0,5,0
"Monterey Cheddar, Shredded",14,50,5,3,0,15,90,0,0,0,3,6,0,8,0
"Mozzarella, Shredded",14,45,4,2,0,10,85,1,0,0,3,0,0,6,0
"Parmesean, Grated",1,5,0,0,0,0,25,0,0,0,1,0,0,2,0
Pepperjack,14,50,4,3,0,15,140,0,0,0,3,4,4,10,0
Provolone,14,50,4,2,0,10,125,0,0,0,4,4,0,8,0
Swiss,14,50,5,3,0,15,30,0,0,0,4,4,0,10,0
Bacon (2 Strips),15,80,6,3,0,15,170,1,0,1,5,0,0,0,2
Black Forest Ham,57,70,2,1,0,30,490,2,0,1,10,0,0,0,2
Chicken Patty,71,80,3,1,0,45,300,2,0,1,13,0,0,0,2
Cold cut combo meats,64,110,8,1,0,45,620,1,0,1,9,0,0,4,4
Egg patty (regular),85,180,15,4,0,240,220,2,0,0,10,10,0,2,6
Egg patty (white),85,90,4,1,0,0,290,3,0,1,9,0,0,0,0
Grilled Chicken,71,80,2,2,0,50,210,1,0,1,16,2,4,0,2
"Grilled Chicken, Buffalo",99,90,2,1,0,50,900,2,0,1,17,15,4,0,4
"Grilled Chicken, Teriyaki Glazed",85,100,2,1,0,50,400,5,0,2,16,2,4,0,2
Italian B.M.T. Meats,64,180,14,5,0,50,800,3,0,1,11,0,8,2,4
Meatballs,139,230,15,6,1,40,700,13,3,5,12,10,10,4,10
Oven Roasted Turkey,57,60,1,1,0,25,480,0,0,0,11,0,0,0,10
Pastrami,57,130,11,3,0,35,470,1,0,1,9,2,0,0,8
Pepperoni (3 slices),18,80,7,3,0,20,290,1,0,0,3,0,4,0,2
Roast Beed,71,90,3,1,0,40,420,2,0,2,14,0,0,0,8
Rotisserie Style Chicken,71,90,4,1,0,50,400,0,0,0,15,0,0,0,2
Spicy Italian Meats,59,250,22,8,0,60,930,2,0,0,11,0,15,2,6
Steak (no cheese),71,110,5,2,0,55,450,2,0,1,17,0,0,0,6
Subway Club Meats,78,90,3,3,0,40,560,3,0,1,15,0,0,0,6
Tuna,74,250,23,2,0,40,310,0,0,0,12,0,0,0,2
Veggie Patty,85,170,9,1,0,0,320,17,8,2,6,0,0,0,0
